2020-10-04 16:15:57.344 [Thread-11] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2020-10-04 16:15:57.392 [Thread-11] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
2020-10-04 16:15:57.407 [Thread-11] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
2020-10-04 16:15:57.438 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
2020-10-04 16:15:57.438 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
2020-10-04 16:15:57.438 [main] INFO  com.ns.EurekaApplication - Started EurekaApplication in 15.037 seconds (JVM running for 15.653)
2020-10-04 16:15:57.662 [http-nio-8761-exec-10] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-04 16:15:57.662 [http-nio-8761-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-04 16:15:57.671 [http-nio-8761-exec-10] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-10-04 16:15:57.772 [http-nio-8761-exec-10] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance EUREKA-SERVER/localhost:eureka-server:8761 with status UP (replication=false)
2020-10-04 16:15:57.798 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-SERVER/localhost:eureka-server:8761 - registration status: 204
2020-10-04 16:16:23.027 [http-nio-8761-exec-8] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance EUREKA-PROVIDER/localhost:eureka-provider:9090 with status UP (replication=false)
2020-10-04 16:16:32.387 [http-nio-8761-exec-5] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Registered instance EUREKA-CONSUMER/localhost:eureka-consumer:9091 with status UP (replication=false)
2020-10-04 16:17:57.444 [Thread-11] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
2020-10-04 16:17:57.445 [Thread-11] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
2020-10-04 16:17:57.446 [Thread-11] INFO  c.n.eureka.registry.PeerAwareInstanceRegistryImpl - Changing status to UP
2020-10-04 16:17:57.485 [Thread-11] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2020-10-04 16:21:07.941 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$feb626ac] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-04 16:21:08.519 [main] INFO  com.ns.EurekaApplication - No active profile set, falling back to default profiles: default
2020-10-04 16:21:09.781 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-10-04 16:21:10.156 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=89942855-f589-30ce-8f54-b54acfb2f90b
2020-10-04 16:21:10.277 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$feb626ac] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-04 16:21:11.004 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8761 (http)
2020-10-04 16:21:11.026 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8761"]
2020-10-04 16:21:11.031 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-04 16:21:11.031 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.26]
2020-10-04 16:21:11.232 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-04 16:21:11.232 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2686 ms
2020-10-04 16:21:11.356 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-10-04 16:21:11.356 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-04 16:21:11.375 [main] INFO  com.netflix.config.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@36c2b646
2020-10-04 16:21:12.726 [main] INFO  c.s.j.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-10-04 16:21:12.815 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2020-10-04 16:21:12.815 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2020-10-04 16:21:13.002 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
